f.movieid,m.title,rating_count,average_rating
63062,changeling,15,4.0
2905,sanjuro,15,4.17
2987,who framed roger rabbit?,15,3.0
60857,"tracey fragments, the",15,4.0
283139,sisu,15,3.2
192953,ghost in the shell: stand alone complex - individual eleven,15,4.0
8910,i heart huckabees,15,4.0
33166,crash,15,4.3
3897,almost famous,15,4.0
3910,dancer in the dark,15,4.4
6367,down with love,15,3.0
7022,battle royale,15,3.73
6938,billabong odyssey,15,4.0
3070,"adventures of buckaroo banzai across the 8th dimension, the",15,3.0
102125,iron man 3,15,2.6
68791,terminator salvation,15,2.67
218537,palm springs,15,4.5
57368,cloverfield,15,4.1
1573,face/off,15,4.1
271232,fantastic beasts: the secrets of dumbledore,15,3.03
81788,"next three days, the",15,3.8
53972,live free or die hard,15,3.07
206845,the laundromat,15,5.0
175661,the hitman's bodyguard,15,4.13
5902,adaptation,15,3.67
111364,godzilla,15,4.03
5378,star wars: episode ii - attack of the clones,15,4.2
27798,ju-on: the grudge 2,15,4.5
158759,10 billion: what's on your plate,15,5.0
7766,throne of blood,15,4.0
106100,dallas buyers club,15,3.27
83302,last night,15,3.6
70533,evangelion: 1.0 you are alone,15,4.43
143345,shazam!,15,3.6
7254,the butterfly effect,15,3.93
38320,valerie and her week of wonders,15,5.0
5617,secretary,15,4.53
8368,harry potter and the prisoner of azkaban,15,4.23
31685,hitch,15,4.2
188187,breaking in,15,2.1
122898,justice league,15,2.73
26547,police story,15,3.87
3969,pay it forward,15,4.87
255335,shang-chi and the legend of the ten rings,15,4.0
84944,rango,15,5.0
69951,"imaginarium of doctor parnassus, the",15,3.5
122922,doctor strange,15,4.47
1278,young frankenstein,15,3.63
169400,gantz: o,15,4.0
185473,blockers,14,4.0
1247,"graduate, the",14,3.75
170945,it comes at night,14,3.07
171765,okja,14,3.64
54001,harry potter and the order of the phoenix,14,3.82
112138,22 jump street,14,3.71
143511,human,14,5.0
4865,from hell,14,3.64
91542,sherlock holmes: a game of shadows,14,4.36
3740,big trouble in little china,14,3.0
122924,x-men: apocalypse,14,1.89
52042,black book,14,3.14
5772,my dinner with andré,14,4.68
210271,6 underground,14,3.43
71129,green lantern: first flight,14,4.0
4776,training day,14,4.61
85510,sucker punch,14,3.5
4728,rat race,14,2.86
103688,"conjuring, the",14,3.64
205297,gemini man,14,2.79
72378,2012,14,2.07
78499,toy story 3,14,4.21
648,mission: impossible,14,4.43
66203,he's just not that into you,14,3.89
51086,"number 23, the",14,3.5
246,hoop dreams,14,4.07
8917,team america: world police,14,3.29
220380,the green knight,14,3.25
55555,"edge of heaven, the",14,5.0
68848,"brothers bloom, the",14,3.5
118244,wanderers,14,5.0
4369,"fast and the furious, the",14,4.36
138036,the man from u.n.c.l.e.,14,4.36
922,sunset blvd.,14,3.79
1095,glengarry glen ross,14,4.21
72696,old dogs,14,3.0
114795,dracula untold,14,5.0
1619,seven years in tibet,14,4.0
154220,the war of the worlds: next century,14,4.0
91517,"death king, the",14,4.0
288513,barbie,14,2.29
171011,planet earth ii,14,5.0
183695,marrowbone,14,4.0
3354,mission to mars,14,2.75
242894,godzilla vs. kong,14,3.64
34319,"island, the",14,3.36
104243,riddick,14,4.0
8808,"princess diaries 2: royal engagement, the",14,4.75
77843,"disappearance of alice creed, the",14,4.5
52281,grindhouse,14,2.21
224841,console wars,14,3.5
1387,jaws,14,3.04
2413,clue,14,3.21
3246,malcolm x,14,4.86
69844,harry potter and the half-blood prince,14,3.57
2872,excalibur,14,4.25
30825,meet the fockers,14,2.54
80549,easy a,14,3.71
5500,top secret!,14,3.75
5459,men in black ii,14,3.36
1304,butch cassidy and the sundance kid,14,3.5
8781,"manchurian candidate, the",14,3.36
802,phenomenon,13,4.0
107406,snowpiercer,13,4.12
2671,notting hill,13,4.15
173925,seven sisters,13,3.19
244334,wrath of man,13,3.38
78856,"world according to monsanto, the",13,4.5
71450,capitalism: a love story,13,4.85
4447,legally blonde,13,4.42
54503,superbad,13,4.15
1876,deep impact,13,4.38
286357,evil dead rise,13,4.0
2455,"fly, the",13,3.58
45672,click,13,3.0
103253,elysium,13,4.46
49957,"history boys, the",13,4.5
6797,bugsy,13,4.0
113348,teenage mutant ninja turtles,13,3.5
2411,rocky iv,13,4.08
2404,rambo iii,13,3.73
6280,"man apart, a",13,3.0
2012,back to the future part iii,13,3.15
919,"wizard of oz, the",13,4.15
207405,doctor sleep,13,3.69
83349,"green hornet, the",13,2.85
176105,flatliners,13,1.5
170745,13 reasons why,13,3.5
27604,suicide club,13,4.5
4246,bridget jones's diary,13,3.19
6281,phone booth,13,3.5
277066,triangle of sadness,13,4.38
105835,"double, the",13,4.15
56782,there will be blood,13,4.5
7143,"last samurai, the",13,4.12
2186,strangers on a train,13,3.88
76293,date night,13,2.58
38198,darwin's nightmare,13,4.0
69830,iron maiden: flight 666,13,3.0
8981,closer,13,3.19
8977,alexander,13,2.65
215,before sunrise,13,3.46
3741,badlands,13,4.77
258451,last night in soho,13,3.54
220362,uncle frank,13,4.46
64497,"day the earth stood still, the",13,1.92
158092,magnetic rose,13,4.0
159755,popstar: never stop never stopping,13,3.0
3300,pitch black,13,4.27
183411,the secret rules of modern living: algorithms,13,4.5
44195,thank you for smoking,13,4.15
201368,long shot,13,3.88
2731,"400 blows, the",13,3.19
81276,south of the border,13,4.5
80693,it's kind of a funny story,13,3.73
4025,miss congeniality,13,4.35
70336,g.i. joe: the rise of cobra,13,2.0
79134,grown ups,13,4.04
71254,gamer,13,4.0
71520,"invention of lying, the",13,2.38
72011,up in the air,13,3.81
7451,mean girls,13,2.19
4642,hedwig and the angry inch,13,4.92
102445,star trek into darkness,13,4.23
72720,"single man, a",13,4.0
53318,cashback,13,3.54
8644,"i, robot",13,4.12
2699,arachnophobia,13,3.69
261131,king richard,13,4.23
1921,pi,13,4.92
48,pocahontas,13,3.65
48231,taxidermia,13,4.0
2726,"killing, the",13,3.96
96281,paranorman,13,3.35
1566,hercules,13,4.81
47465,tideland,13,5.0
177867,borg vs mcenroe,13,4.0
1350,"omen, the",13,4.88
1343,cape fear,13,3.38
1302,field of dreams,13,3.46
1285,heathers,13,4.46
59040,gabriel,13,3.5
1275,highlander,13,4.27
5630,red dragon,13,3.46
43871,firewall,13,4.5
91485,"expendables 2, the",13,2.08
153,batman forever,13,1.27
78039,blue valentine,13,4.5
8207,"day of the jackal, the",13,4.54
278702,glass onion: a knives out mystery,13,3.77
89000,carancho,13,3.0
8950,the machinist,13,3.5
143367,silence,13,4.62
2917,body heat,13,4.46
194396,overlord,13,3.15
88125,harry potter and the deathly hallows: part 2,13,3.88
87520,transformers: dark of the moon,13,2.0
39446,saw ii,13,2.62
74789,alice in wonderland,13,3.77
928,rebecca,13,4.0
85412,"troll hunter, the",13,4.08
913,"maltese falcon, the",13,4.31
7090,hero,13,4.35
899,singin' in the rain,13,4.62
202749,portrait of a lady on fire,13,4.92
59418,"american crime, an",12,4.5
51317,kamchatka,12,3.5
8641,anchorman: the legend of ron burgundy,12,4.0
118900,wild,12,4.33
67784,"cake eaters, the",12,4.0
3503,solaris,12,4.33
79897,get low,12,2.0
3911,best in show,12,4.0
59615,indiana jones and the kingdom of the crystal skull,12,3.75
27266,2046,12,4.0
104283,"wind rises, the",12,4.5
70183,"ugly truth, the",12,4.0
1059,william shakespeare's romeo + juliet,12,4.25
242774,black widow,12,4.08
84601,unknown,12,4.0
87660,too big to fail,12,4.75
144976,bone tomahawk,12,2.46
143385,bridge of spies,12,4.33
69027,oss 117 - lost in rio,12,3.13
106491,47 ronin,12,4.5
4641,ghost world,12,4.04
103306,europa report,12,4.42
200638,tolkien,12,4.0
103883,2 guns,12,3.17
103249,world war z,12,3.5
54286,"bourne ultimatum, the",12,4.5
190,safe,12,4.0
180297,the disaster artist,12,3.5
4370,a.i. artificial intelligence,12,3.33
184015,when we first met,12,3.0
95875,total recall,12,3.08
54075,arn: the knight templar,12,3.83
70663,"i love you, beth cooper",12,4.0
2403,first blood,12,4.58
49824,dreamgirls,12,3.5
7458,troy,12,3.5
4823,serendipity,12,4.25
187067,super troopers 2,12,4.5
163993,tell me how i die,12,5.0
253498,fear street part two: 1978,12,4.5
8947,"grudge, the",12,4.42
2003,gremlins,12,4.33
188317,uncle drew,12,3.0
3424,do the right thing,12,4.71
122902,fantastic four,12,2.17
586,home alone,12,4.33
89554,zindagi na milegi dobara,12,5.0
7387,dawn of the dead,12,3.75
221042,8 days: to the moon and back,12,4.0
3968,bedazzled,12,4.58
149334,nocturnal animals,12,4.33
26158,closely watched trains,12,5.0
81537,due date,12,3.5
3983,you can count on me,12,4.0
220792,project power,12,3.17
205303,sherlock: the abominable bride,12,4.63
861,supercop,12,2.5
1580,men in black,12,3.46
1204,lawrence of arabia,12,4.29
26431,opening night,12,2.92
62644,"wave, the",12,3.42
55241,mr. woodcock,12,3.5
215173,sound of freedom,12,4.0
105504,captain phillips,12,4.67
165491,into the inferno,12,4.42
1025,"sword in the stone, the",12,3.58
77191,death at a funeral,12,4.13
176801,suspiria,12,3.63
53129,mr. brooks,12,3.67
4255,freddy got fingered,12,1.63
6645,thx 1138,12,3.5
8665,"bourne supremacy, the",12,4.67
56949,27 dresses,12,3.42
192843,earth: the power of the planet,12,5.0
837,matilda,12,3.79
4326,mississippi burning,12,4.04
3917,hellraiser,12,3.88
261271,the harder they fall,12,4.5
47629,the queen,12,3.67
4967,no man's land,12,4.04
166461,moana,12,3.67
103483,v/h/s/2,12,4.0
7802,"warriors, the",12,4.58
273133,hustle,12,3.88
200820,godzilla: king of the monsters,12,3.42
43267,on probation,12,4.5
6977,new jack city,12,3.25
71156,"men who stare at goats, the",12,3.71
1907,mulan,12,4.33
86835,priest,12,4.5
7001,invasion of the body snatchers,12,5.0
97950,"man with the iron fists, the",11,1.5
66691,thick as thieves,11,3.23
65642,timecrimes,11,2.77
102066,resolution,11,3.5
2068,fanny and alexander,11,4.0
4890,shallow hal,11,3.18
197203,triple frontier,11,3.91
2176,rope,11,4.82
1222,full metal jacket,11,4.91
367,"mask, the",11,3.55
5062,seconds,11,5.0
32296,miss congeniality 2: armed and fabulous,11,3.41
2616,dick tracy,11,3.14
49286,"holiday, the",11,3.59
51709,"host, the",11,2.82
31223,racing stripes,11,3.0
3396,"muppet movie, the",11,4.5
1562,batman & robin,11,0.5
39,clueless,11,4.0
90888,immortals,11,4.27
1088,dirty dancing,11,4.45
286131,the super mario bros. movie,11,3.5
187583,the game changers,11,5.0
91079,like crazy,11,4.0
91094,"muppets, the",11,2.73
2431,patch adams,11,4.09
185585,pacific rim: uprising,11,3.18
128838,crimson peak,11,3.73
160271,central intelligence,11,3.5
8965,"polar express, the",11,3.55
5294,frailty,11,2.14
8899,hardcore,11,4.0
188833,the man who killed don quixote,11,3.59
8870,"forgotten, the",11,3.5
74532,cop out,11,2.59
1970,"nightmare on elm street 3: dream warriors, a",11,4.32
168122,raw,11,4.5
74228,triangle,11,4.0
81229,red,11,4.27
8622,fahrenheit 9/11,11,3.36
1754,fallen,11,4.14
82169,"chronicles of narnia: the voyage of the dawn treader, the",11,2.0
278446,the banshees of inisherin,11,3.77
2083,"muppet christmas carol, the",11,4.27
71500,trick 'r treat,11,4.59
58105,"spiderwick chronicles, the",11,2.0
103042,man of steel,11,2.18
44761,brick,11,4.45
212853,vfw,11,4.0
79242,"kids are all right, the",11,3.5
53956,death at a funeral,11,4.18
2530,beneath the planet of the apes,11,2.91
118924,top five,11,3.5
111781,mission: impossible - rogue nation,11,5.0
6301,straw dogs,11,1.0
123,chungking express,11,4.09
2353,enemy of the state,11,3.55
107771,only lovers left alive,11,4.0
54736,"kingdom, the",11,3.95
51884,"namesake, the",11,3.0
2951,"fistful of dollars, a",11,4.18
103299,american mary,11,4.68
148626,"big short, the",11,4.23
260667,encanto,11,3.32
160718,piper,11,4.41
49772,"painted veil, the",11,3.64
7346,"girl next door, the",11,3.23
1635,"ice storm, the",11,4.0
5893,"last seduction, the",11,3.86
96314,celeste and jesse forever,11,4.5
176567,the endless,11,4.0
177245,same kind of different as me,11,4.5
6765,under the tuscan sun,11,4.0
1405,beavis and butt-head do america,11,3.45
179817,darkest hour,11,3.45
253972,fear street: 1666,11,4.5
184427,keep watching,11,2.45
1241,dead alive,11,3.64
189393,97% owned,11,5.0
1127,"abyss, the",11,4.36
1120,"people vs. larry flynt, the",11,3.5
3499,misery,11,3.91
190755,the little stranger,11,3.0
41569,king kong,11,3.36
41285,match point,11,3.86
40614,derailed,11,2.27
3677,baraka,11,4.41
953,it's a wonderful life,11,3.82
63479,sex drive,11,4.0
83910,"dilemma, the",11,2.09
7293,50 first dates,11,4.14
4552,"tetsuo, the ironman",11,3.68
220956,adú,11,4.86
33660,cinderella man,11,4.5
31545,"trou, le",11,4.73
70293,julie & julia,11,4.0
4816,zoolander,11,3.86
78469,"a-team, the",11,4.64
5299,my big fat greek wedding,11,3.95
4265,driven,11,3.5
74754,"room, the",11,1.73
4327,"magnificent seven, the",11,3.64
6214,irreversible,11,3.64
2581,never been kissed,11,3.77
118082,the voices,11,4.05
27728,ghost in the shell 2: innocence,10,4.0
8798,collateral,10,3.5
252214,werewolves within,10,3.5
242906,the unbearable weight of massive talent,10,3.45
457,"fugitive, the",10,3.65
213355,antlers,10,4.0
588,aladdin,10,2.9
208737,midway,10,3.45
203691,the edge of democracy,10,4.5
203218,good boys,10,3.1
784,"cable guy, the",10,2.4
201594,brightburn,10,3.2
200838,pokémon: detective pikachu,10,2.8
197883,the farewell,10,4.0
954,mr. smith goes to washington,10,4.6
1035,"sound of music, the",10,4.8
1090,platoon,10,3.7
187501,leave no trace,10,5.0
187231,american animals,10,3.5
1272,patton,10,3.85
182823,bright,10,2.4
1552,con air,10,3.55
173919,legend of the galactic heroes: golden wings,10,3.5
169528,saint seiya: warriors of the final holy battle,10,3.5
1909,"x-files: fight the future, the",10,5.0
1945,on the waterfront,10,3.85
162578,kubo and the two strings,10,4.0
2000,lethal weapon,10,4.35
155078,lo chiamavano jeeg robot,10,4.0
2078,"jungle book, the",10,4.9
140174,room,10,4.3
130636,unfriended,10,4.5
2402,rambo: first blood part ii,10,3.4
2412,rocky v,10,4.1
2527,westworld,10,3.9
2572,10 things i hate about you,10,5.0
2701,wild wild west,10,3.2
106696,frozen,10,3.9
101070,wadjda,10,4.4
3022,"general, the",10,3.55
93838,the raid: redemption,10,4.0
165,die hard: with a vengeance,10,3.6
93297,act of valor,10,4.0
92234,red tails,10,3.5
3365,"searchers, the",10,3.9
3398,"muppets take manhattan, the",10,4.25
3435,double indemnity,10,4.0
86880,pirates of the caribbean: on stranger tides,10,2.9
86190,hanna,10,3.95
3819,tampopo,10,4.25
81784,morning glory,10,2.5
81270,my soul to take,10,1.5
80219,machete,10,4.5
78637,shrek forever after,10,3.85
4976,iris,10,2.5
68793,night at the museum: battle of the smithsonian,10,2.0
68135,17 again,10,4.0
67408,monsters vs. aliens,10,2.8
62437,w.,10,4.0
58025,jumper,10,2.75
55269,"darjeeling limited, the",10,4.1
54995,planet terror,10,3.7
54290,bratz: the movie,10,0.5
6105,moonlighting,10,4.0
6183,pillow talk,10,4.3
53835,journey to italy,10,3.6
6283,cowboy bebop: the movie,10,4.0
53123,once,10,4.0
6868,wonderland,10,2.5
6952,gothika,10,2.25
37380,doom,10,2.85
35957,red eye,10,4.45
33145,"lot like love, a",10,3.5
31107,mikey and nicky,10,4.15
173309,legend of the galactic heroes: overture to a new war,10,4.5
225,disclosure,10,3.0
196,species,10,2.2
174407,an inconvenient sequel,10,4.1
3005,"bone collector, the",10,4.3
5108,john q,10,4.55
162606,the accountant,10,4.0
62586,"american carol, an",10,0.5
161634,don't breathe,10,4.0
287633,asteroid city,10,2.6
204158,weathering with you,10,4.0
33646,"longest yard, the",10,4.45
53466,nancy drew,10,3.5
219059,archive,10,3.5
53974,license to wed,10,3.9
79551,shifty,10,3.5
3263,white men can't jump,10,3.5
169524,saint seiya: the heated battle of the gods,10,3.5
3425,mo' better blues,10,3.5
2394,"prince of egypt, the",10,4.5
170401,table 19,10,4.5
54999,shoot 'em up,10,3.5
26002,confidential report,10,4.4
3623,mission: impossible ii,10,3.75
1175,delicatessen,10,4.7
780,independence day,10,2.3
3686,flatliners,10,4.1
55267,dan in real life,10,3.5
206959,frozen ii,10,2.0
267456,the whale,10,3.8
280202,talk to me,10,3.5
74530,percy jackson & the olympians: the lightning thief,10,3.0
171007,the book of henry,10,2.5
189041,sicario: day of the soldado,10,4.0
1393,jerry maguire,10,4.5
56339,"orphanage, the",10,4.1
137445,the riverman,10,4.0
56587,"bucket list, the",10,4.4
87485,bad teacher,10,3.0
87234,submarine,10,5.0
91690,friends with kids,10,3.5
48032,"tiger and the snow, the",10,5.0
179437,bad match,10,3.0
71573,whiteout,10,3.5
175621,tonight she comes,10,4.0
286401,fleshtone,10,3.0
161,crimson tide,10,3.15
733,"rock, the",10,3.75
107,muppet treasure island,10,3.75
7444,13 going on 30,10,4.1
93610,space battleship yamato,10,3.5
4874,k-pax,10,4.0
2193,willow,10,3.4
221576,enola holmes,10,5.0
101739,evil dead,10,5.0
143859,"hail, caesar!",10,3.0
1952,midnight cowboy,10,4.5
2161,"neverending story, the",10,4.5
94018,battleship,10,2.5
112171,"equalizer, the",10,4.5
140711,american ultra,10,4.0
357,four weddings and a funeral,10,3.95
2599,election,10,3.5
2648,frankenstein,10,3.85
2694,big daddy,10,3.45
2696,"dinner game, the",10,4.35
149412,legend of the galactic heroes: my conquest is the sea of stars,10,4.0
259659,the last duel,10,3.5
259217,fucking with nobody,10,4.0
2803,"pelican brief, the",10,3.3
947,my man godfrey,10,4.3
5009,ali,9,5.0
65290,shadow company,9,4.0
84273,zeitgeist: moving forward,9,3.5
67267,sunshine cleaning,9,3.33
1096,sophie's choice,9,4.06
191367,the predator,9,3.0
69481,"hurt locker, the",9,3.83
189587,the idiot cycle,9,5.0
82459,true grit,9,4.11
187723,set it up,9,4.0
72407,"twilight saga: new moon, the",9,1.5
189451,macross: flash back 2012,9,3.5
76763,"runaways, the",9,3.0
77427,"human centipede, the",9,1.0
1485,liar liar,9,3.83
80831,let me in,9,5.0
79224,"karate kid, the",9,4.5
147,"basketball diaries, the",9,3.5
174909,logan lucky,9,3.89
114461,"snails, the",9,4.5
121231,it follows,9,4.0
169520,saint seiya heaven chapter: overture,9,4.0
1777,"wedding singer, the",9,3.56
288279,cobweb,9,3.0
1810,primary colors,9,3.5
1419,walkabout,9,4.0
180221,walk with me,9,3.0
111360,lucy,9,2.78
111235,jodorowsky's dune,9,4.44
2167,blade,9,4.0
185,"net, the",9,2.28
2289,"player, the",9,4.0
180031,the shape of water,9,2.83
2340,meet joe black,9,4.06
264962,mother/android,9,2.5
2352,"big chill, the",9,3.5
108945,robocop,9,4.5
2420,"karate kid, the",9,4.28
135133,the hunger games: mockingjay - part 2,9,3.0
179647,the young karl marx,9,3.5
3075,repulsion,9,4.22
135567,independence day: resurgence,9,3.0
3275,"boondock saints, the",9,3.94
3745,titan a.e.,9,4.0
3753,"patriot, the",9,3.33
4023,"family man, the",9,4.5
4308,moulin rouge,9,2.72
5540,clash of the titans,9,2.44
5872,die another day,9,4.06
6155,how to lose a guy in 10 days,9,4.44
6157,daredevil,9,2.67
96252,i am bruce lee,9,3.5
6568,camp,9,3.5
177243,marshall,9,3.5
7616,body double,9,3.78
146423,the falling,9,4.5
7891,"last man on earth, the",9,4.0
8360,shrek 2,9,4.5
8371,"chronicles of riddick, the",9,3.5
208773,i lost my body,9,3.0
208469,just mercy,9,4.5
8911,raise your voice,9,4.0
26393,sorcerer,9,4.78
204152,vivarium,9,3.33
89535,"havre, le",9,1.0
186381,campeones,9,4.5
34072,march of the penguins,9,4.56
36289,asterix & obelix vs. caesar,9,3.28
88812,30 minutes or less,9,3.06
200818,john wick: chapter 3 – parabellum,9,3.5
282649,knock at the cabin,9,1.94
196417,how to train your dragon: the hidden world,9,3.06
49524,"nativity story, the",9,4.44
194664,they shall not grow old,9,4.56
52418,sky fighters,9,2.0
155976,kryptonita,9,4.0
192921,monster,9,3.5
58078,"air i breathe, the",9,2.17
85342,elite squad: the enemy within,9,4.56
59900,you don't mess with the zohan,9,3.61
60950,vicky cristina barcelona,9,4.89
61160,star wars: the clone wars,9,4.0
62511,"synecdoche, new york",9,4.56
4297,pelle the conqueror,9,4.0
78266,splice,9,3.83
79428,dinner for schmucks,9,3.33
63876,milk,9,3.0
3785,scary movie,9,3.44
60756,step brothers,9,4.44
3545,cabaret,9,4.5
3468,"hustler, the",9,4.33
3448,"good morning, vietnam",9,4.17
59333,made of honor,9,3.33
59220,outsourced,9,4.5
5606,society,9,4.17
5673,punch-drunk love,9,3.17
3262,twin peaks: fire walk with me,9,4.83
170,hackers,9,3.39
5791,frida,9,4.06
95441,ted,9,3.5
56805,walk hard: the dewey cox story,9,3.5
99305,kumaré,9,3.83
102991,berberian sound studio,9,1.56
106868,breaking the girls ,9,3.0
31184,appleseed,9,4.0
251606,hitman's wife's bodyguard,9,1.5
107000,"challenger disaster, the",9,4.0
339,while you were sleeping,9,3.22
27788,"jacket, the",9,3.17
108981,nymphomaniac: volume ii,9,5.0
2788,monty python's and now for something completely different,9,3.94
2707,arlington road,9,3.61
290573,the creator,9,4.0
2662,"war of the worlds, the",9,3.5
114078,seinto seiya: legend of sanctuary,9,4.0
7982,"tale of two sisters, a",9,5.0
2424,you've got mail,9,3.5
130448,poltergeist,9,4.5
2183,"man who knew too much, the",9,3.44
50954,it's a boy girl thing,9,3.56
155509,mr. right,9,4.89
161922,the edge of seventeen,9,4.06
162148,friend request,9,2.0
169522,saint seiya: evil goddess eris,9,3.5
169526,saint seiya: legend of crimson youth,9,4.0
1784,as good as it gets,9,4.72
49013,"santa clause 3: the escape clause, the",9,5.0
171439,a dark song,9,4.5
1717,scream 2,9,4.0
48414,open season,9,3.22
175197,the dark tower,9,2.0
176933,the foreigner,9,4.0
178667,gerald's game,9,3.0
2,jumanji,9,3.94
282161,a man called otto,9,2.94
7925,"hidden fortress, the",9,4.0
1263,"deer hunter, the",9,2.56
269872,moonfall,9,2.17
184721,first reformed,9,4.5
43836,"pink panther, the",9,4.67
185499,the occupation of the american mind,9,4.5
1227,once upon a time in america,9,4.39
1129,escape from new york,9,2.83
192383,beautiful boy,9,4.78
192787,what keeps you alive,9,3.5
192963,ftl,9,4.0
40815,harry potter and the goblet of fire,9,3.72
10,goldeneye,9,4.83
968,night of the living dead,9,4.06
914,my fair lady,9,5.0
38038,wallace & gromit in the curse of the were-rabbit,9,4.33
201586,men in black: international,9,2.5
7123,naked lunch,9,5.0
724,"craft, the",9,3.0
620,scream of stone,9,4.5
212074,guns akimbo,9,2.94
33903,"edukators, the",9,3.0
220370,the dalai lama: scientist,9,4.0
224943,i care a lot,9,3.78
26052,pickpocket,9,4.5
32031,robots,9,3.56
226698,monster hunter,9,1.0
31687,pooh's heffalump movie,9,4.5
69169,"song is born, a",9,4.0
7263,miracle,9,4.17
233555,the little things,9,3.5
67957,superstar: the karen carpenter story,9,3.0
67801,revanche,8,4.13
130842,power/rangers,8,4.0
138202,burying the ex,8,4.5
436,color of night,8,2.94
2144,sixteen candles,8,1.5
141749,the danish girl,8,5.0
142598,last shift,8,2.5
197537,velvet buzzsaw,8,3.5
7045,"witches, the",8,3.5
158966,captain fantastic,8,3.88
2002,lethal weapon 3,8,4.31
39234,north country,8,3.5
4888,tape,8,5.0
168534,dibu: la película,8,1.5
200332,rocketman,8,4.5
264201,i want my mtv,8,3.0
4645,cure,8,2.0
49530,blood diamond,8,3.94
49130,"good year, a",8,2.31
69849,roots,8,5.0
25827,mr. deeds goes to town,8,4.13
4639,america's sweethearts,8,3.0
173139,the bad batch,8,2.0
174395,better watch out,8,4.0
4558,twins,8,3.94
174423,rakka,8,4.0
7375,"prince & me, the",8,4.0
1616,"peacemaker, the",8,3.0
175671,birth of the dragon,8,3.31
176561,"sister, sister",8,3.5
5014,i am sam,8,4.5
47200,crank,8,2.81
177495,score: a film music documentary,8,4.0
66509,funny people,8,3.56
206847,paris to pittsburgh,8,3.5
78349,exam,8,3.5
78836,enter the void,8,4.5
180591,jane,8,4.5
4062,mystic pizza,8,3.0
3966,detour,8,3.88
64032,four christmases,8,4.25
81847,tangled,8,4.13
1354,breaking the waves,8,3.0
240452,mortal kombat,8,2.13
85401,super,8,4.0
273891,bullet train,8,3.63
274971,thor: love and thunder,8,3.5
88235,"guard, the",8,3.0
88589,messiah of evil,8,3.5
407,in the mouth of madness,8,5.0
3546,what ever happened to baby jane?,8,3.06
61248,death race,8,3.56
182813,saving capitalism,8,4.5
69069,fired up,8,3.5
6820,ginger snaps,8,5.0
46335,"fast and the furious: tokyo drift, the",8,3.38
46062,high school musical,8,3.5
89896,"turin horse, the",8,5.0
1295,"unbearable lightness of being, the",8,5.0
182825,all the money in the world,8,4.0
3355,"ninth gate, the",8,3.63
3328,ghost dog: the way of the samurai,8,5.0
91823,kung fu panda holiday special,8,3.5
91935,albatross,8,3.0
59118,happy-go-lucky,8,3.69
92681,journey 2: the mysterious island,8,2.63
59018,"visitor, the",8,4.0
1268,pump up the volume,8,3.0
213207,onward,8,3.5
44193,she's the man,8,5.0
93766,wrath of the titans,8,4.0
250010,bo burnham: inside,8,3.5
3203,dead calm,8,4.5
183843,mandy,8,3.25
3178,"hurricane, the",8,4.0
4532,return of the living dead part ii,8,2.0
57640,hellboy ii: the golden army,8,3.5
5881,solaris,8,2.75
3104,midnight run,8,4.56
96510,"apparition, the",8,1.0
216326,planet of the humans,8,3.81
75446,little ashes,8,3.5
100745,tpb afk: the pirate bay away from keyboard,8,4.0
224264,connected,8,4.0
5954,25th hour,8,3.88
104457,you're next,8,5.0
1248,touch of evil,8,4.0
76091,mother,8,4.69
2901,phantasm,8,3.0
8807,harold and kumar go to white castle,8,4.0
4446,final fantasy: the spirits within,8,4.5
456,fresh,8,5.0
107069,lone survivor,8,2.69
6059,"recruit, the",8,4.25
54276,no reservations,8,4.0
42094,"spirit of the beehive, the",8,2.75
189481,stink bomb,8,3.5
2790,"final conflict, the",8,3.0
32914,carrie,8,3.5
257627,untold: deal with the devil,8,3.5
2709,muppets from space,8,3.56
67867,dragonball evolution,8,1.5
77455,exit through the gift shop,8,4.5
112727,deliver us from evil,8,2.0
193175,mowgli,8,3.75
41014,"bird with the crystal plumage, the",8,4.0
116799,inherent vice,8,3.63
53189,eagle vs shark,8,3.88
8520,deep cover,8,4.0
118252,all cheerleaders die,8,5.0
40819,walk the line,8,3.88
2505,8mm,8,4.06
195115,uncanny valley,8,3.5
2391,"simple plan, a",8,4.5
6331,spellbound,8,4.0
127319,the loft,8,2.63
135569,star trek beyond,8,3.63
90576,what's your number?,8,4.19
3266,man bites dog,8,3.81
254366,superior,8,4.5
3189,my dog skip,8,3.5
6378,"italian job, the",8,4.75
191495,white boy rick,8,3.5
197651,the king,8,4.0
26776,porco rosso,8,4.88
97836,here comes the boom,8,4.38
204294,the great hack,8,4.63
3082,"world is not enough, the",8,3.56
106002,ender's game,8,4.0
183833,early man,8,5.0
71429,world's greatest dad,8,3.5
2145,pretty in pink,8,3.0
120799,terminator genisys,8,1.75
2150,"gods must be crazy, the",8,4.0
442,demolition man,8,4.13
76,screamers,8,2.19
265460,the black phone,8,3.19
149532,marco polo: one hundred eyes,8,4.5
189483,cannon fodder,8,3.5
923,citizen kane,8,3.13
57044,two sons of francisco,8,4.5
62374,body of lies,8,3.88
84772,paul,8,3.38
201729,ma,8,3.81
1408,"last of the mohicans, the",8,4.0
34552,"girl in the café, the",8,3.0
1517,austin powers: international man of mystery,8,4.0
2579,following,8,4.25
1321,"american werewolf in london, an",8,4.5
156609,neighbors 2: sorority rising,8,2.0
2490,payback,8,4.88
1260,m,8,4.44
190741,summer of 84,8,3.63
