f.genres,f.movieid,m.title,average_rating
Adventure|Animation|Children,3615,dinosaur,3.0
Adventure|Animation|Children,39529,"race for your life, charlie brown",3.0
Adventure|Animation|Children|Comedy,172547,despicable me 3,4.5
Adventure|Animation|Children|Comedy,208939,klaus,4.4
Adventure|Animation|Children|Comedy,5218,ice age,4.38
Adventure|Animation|Children|Comedy,38038,wallace & gromit in the curse of the were-rabbit,4.33
Adventure|Animation|Children|Comedy,201588,toy story 4,4.03
Adventure|Animation|Children|Comedy,2355,"bug's life, a",4.0
Adventure|Animation|Children|Comedy,110130,"nut job, the",4.0
Adventure|Animation|Children|Comedy,6377,finding nemo,3.99
Adventure|Animation|Children|Comedy,86298,rio,3.64
Adventure|Animation|Children|Comedy,8974,"spongebob squarepants movie, the",3.5
Adventure|Animation|Children|Comedy,44022,ice age 2: the meltdown,3.5
Adventure|Animation|Children|Comedy,129370,"spongebob movie: sponge out of water, the",3.0
Adventure|Animation|Children|Comedy,45431,over the hedge,3.0
Adventure|Animation|Children|Comedy,117851,penguins of madagascar,2.0
Adventure|Animation|Children|Comedy|Crime,72226,fantastic mr. fox,4.14
Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,2987,who framed roger rabbit?,3.0
Adventure|Animation|Children|Comedy|Drama|Fantasy,134853,inside out,4.29
Adventure|Animation|Children|Comedy|Drama|Musical|Romance,1907,mulan,4.33
Adventure|Animation|Children|Comedy|Fantasy,4016,"emperor's new groove, the",4.5
Adventure|Animation|Children|Comedy|Fantasy,4886,"monsters, inc.",4.44
Adventure|Animation|Children|Comedy|Fantasy,3114,toy story 2,4.19
Adventure|Animation|Children|Comedy|Fantasy,225173,soul,4.13
Adventure|Animation|Children|Comedy|Fantasy,1,toy story,4.0
Adventure|Animation|Children|Comedy|Fantasy,281096,puss in boots: the last wish,4.0
Adventure|Animation|Children|Comedy|Fantasy,247988,luca,4.0
Adventure|Animation|Children|Comedy|Fantasy,136016,the good dinosaur,3.9
Adventure|Animation|Children|Comedy|Fantasy,166461,moana,3.67
Adventure|Animation|Children|Comedy|Fantasy,213207,onward,3.5
Adventure|Animation|Children|Comedy|Fantasy,53121,shrek the third,3.5
Adventure|Animation|Children|Comedy|Fantasy,114552,"boxtrolls, the",3.5
Adventure|Animation|Children|Comedy|Fantasy,260495,my little pony: a new generation,3.5
Adventure|Animation|Children|Comedy|Fantasy,2294,antz,3.5
Adventure|Animation|Children|Comedy|Fantasy,286131,the super mario bros. movie,3.5
Adventure|Animation|Children|Comedy|Fantasy,215229,trolls world tour,2.5
Adventure|Animation|Children|Comedy|Fantasy,206959,frozen ii,2.0
Adventure|Animation|Children|Comedy|Fantasy|IMAX,78499,toy story 3,4.21
Adventure|Animation|Children|Comedy|Fantasy|IMAX,78637,shrek forever after,3.85
Adventure|Animation|Children|Comedy|Fantasy|Musical|Romance,56152,enchanted,3.5
Adventure|Animation|Children|Comedy|Fantasy|Mystery,275079,chip 'n dale: rescue rangers,4.0
Adventure|Animation|Children|Comedy|Fantasy|Romance,4306,shrek,4.24
Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,673,space jam,4.0
Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi|IMAX,32031,robots,3.56
Adventure|Animation|Children|Comedy|IMAX,95105,madagascar 3: europe's most wanted,3.5
Adventure|Animation|Children|Comedy|IMAX,48414,open season,3.22
Adventure|Animation|Children|Comedy|Musical,1566,hercules,4.81
Adventure|Animation|Children|Comedy|Musical,3034,robin hood,4.0
Adventure|Animation|Children|Comedy|Musical,709,oliver & company,3.0
Adventure|Animation|Children|Comedy|Musical,588,aladdin,2.9
Adventure|Animation|Children|Comedy|Musical|Romance,8360,shrek 2,4.5
Adventure|Animation|Children|Comedy|Mystery,216817,scoob!,3.0
Adventure|Animation|Children|Comedy|Sci-Fi,224264,connected,4.0
Adventure|Animation|Children|Comedy|Sci-Fi,1223,"grand day out with wallace and gromit, a",4.0
Adventure|Animation|Children|Comedy|Sci-Fi,72701,planet 51,3.0
Adventure|Animation|Children|Crime|Drama,2090,"rescuers, the",4.5
Adventure|Animation|Children|Drama,2139,"secret of nimh, the",5.0
Adventure|Animation|Children|Drama,68954,up,4.1
Adventure|Animation|Children|Drama,203222,the lion king,2.5
Adventure|Animation|Children|Drama|Fantasy,26662,kiki's delivery service,3.5
Adventure|Animation|Children|Drama|Musical,1688,anastasia,4.0
Adventure|Animation|Children|Drama|Musical|IMAX,364,"lion king, the",4.5
Adventure|Animation|Children|Fantasy,124575,the wind in the willows,4.5
Adventure|Animation|Children|Fantasy,65261,ponyo,4.0
Adventure|Animation|Children|Fantasy,2033,"black cauldron, the",4.0
Adventure|Animation|Children|Fantasy,4519,"land before time, the",4.0
Adventure|Animation|Children|Fantasy,162578,kubo and the two strings,4.0
Adventure|Animation|Children|Fantasy,260667,encanto,3.32
Adventure|Animation|Children|Fantasy,27731,"cat returns, the",1.0
Adventure|Animation|Children|Fantasy|IMAX,76093,how to train your dragon,4.45
Adventure|Animation|Children|Fantasy|IMAX,8965,"polar express, the",3.55
Adventure|Animation|Children|Fantasy|Musical,1032,alice in wonderland,4.0
Adventure|Animation|Children|Fantasy|Musical,661,james and the giant peach,4.0
Adventure|Animation|Children|Fantasy|Sci-Fi,3054,pokémon: the first movie,2.0
Adventure|Animation|Children|Musical,1030,pete's dragon,4.5
Adventure|Animation|Children|Musical|Western,2142,"american tail: fievel goes west, an",3.5
Adventure|Animation|Children|Romance|Sci-Fi,60069,wall·e,4.37
Adventure|Animation|Children|Sci-Fi,5444,lilo & stitch,4.5
Adventure|Animation|Children|Western,251268,spirit untamed,3.0
Adventure|Animation|Comedy,720,wallace & gromit: the best of aardman animation,5.0
Adventure|Animation|Comedy,103141,monsters university,3.88
Adventure|Animation|Comedy,96281,paranorman,3.35
Adventure|Animation|Comedy,157296,finding dory,1.0
Adventure|Animation|Comedy|Crime,1405,beavis and butt-head do america,3.45
Adventure|Animation|Comedy|Fantasy|IMAX,90647,puss in boots,3.83
Adventure|Animation|Comedy|Fantasy|Musical|Romance,106696,frozen,3.9
Adventure|Animation|Comedy|Fantasy|Romance,26776,porco rosso,4.88
Adventure|Animation|Comedy|Fantasy|Romance|Sci-Fi,47404,mind game,5.0
Adventure|Animation|Drama,163809,over the garden wall,5.0
Adventure|Animation|Drama,8607,tokyo godfathers,4.5
Adventure|Animation|Drama,224052,wolfwalkers,4.5
Adventure|Animation|Drama,77709,"sky crawlers, the",3.5
Adventure|Animation|Drama|Fantasy|Sci-Fi,7099,nausicaä of the valley of the wind,4.75
Adventure|Animation|Drama|Mystery|Sci-Fi,92210,"disappearance of haruhi suzumiya, the",3.5
Adventure|Animation|Fantasy,5618,spirited away,4.52
Adventure|Animation|Fantasy|Horror|Sci-Fi,159403,neo tokyo,3.0
Adventure|Animation|Fantasy|IMAX,80615,legend of the guardians: the owls of ga'hoole,4.0
Adventure|Animation|Fantasy|Romance,31658,howl's moving castle,3.74
Adventure|Animation|Fantasy|Sci-Fi,4446,final fantasy: the spirits within,4.5
Adventure|Animation|Romance,107958,foosball,1.5
Adventure|Animation|Sci-Fi,71057,9,3.97
Adventure|Children,3974,"little vampire, the",2.5
Adventure|Children,484,lassie,2.0
Adventure|Children,175765,pippi longstocking,2.0
Adventure|Children|Comedy,65088,bedtime stories,4.69
Adventure|Children|Comedy,241032,tom & jerry,4.0
Adventure|Children|Comedy|Fantasy,27706,lemony snicket's a series of unfortunate events,4.0
Adventure|Children|Comedy|Fantasy,254460,jungle cruise,3.5
Adventure|Children|Comedy|Fantasy,73804,asterix at the olympic games,3.5
Adventure|Children|Comedy|Fantasy,36289,asterix & obelix vs. caesar,3.28
Adventure|Children|Comedy|Fantasy,195823,the christmas chronicles,3.0
Adventure|Children|Comedy|Fantasy|Horror,226758,the witches,2.0
Adventure|Children|Comedy|Fantasy|Horror,192377,goosebumps: haunted halloween,2.0
Adventure|Children|Comedy|Fantasy|IMAX,30793,charlie and the chocolate factory,3.16
Adventure|Children|Comedy|Fantasy|Sci-Fi,2054,"honey, i shrunk the kids",3.0
Adventure|Children|Comedy|Musical,3396,"muppet movie, the",4.5
Adventure|Children|Comedy|Musical,107,muppet treasure island,3.75
Adventure|Children|Comedy|Sci-Fi,141505,moscow-cassiopeia,4.0
Adventure|Children|Comedy|Sci-Fi,164449,teens in the universe,4.0
Adventure|Children|Documentary,151707,the eagle huntress,2.5
Adventure|Children|Drama,1015,homeward bound: the incredible journey,4.0
Adventure|Children|Drama,47868,ronja robbersdaughter,4.0
Adventure|Children|Drama|Fantasy|IMAX,71745,where the wild things are,3.0
Adventure|Children|Drama|Fantasy|IMAX,58105,"spiderwick chronicles, the",2.0
Adventure|Children|Fantasy,2161,"neverending story, the",4.5
Adventure|Children|Fantasy,4896,harry potter and the sorcerer's stone,4.48
Adventure|Children|Fantasy,44763,"brothers lionheart, the",4.0
Adventure|Children|Fantasy,2,jumanji,3.94
Adventure|Children|Fantasy,41566,"chronicles of narnia: the lion, the witch and the wardrobe, the",3.8
Adventure|Children|Fantasy,119655,seventh son,3.5
Adventure|Children|Fantasy,230039,the christmas chronicles: part two,3.0
Adventure|Children|Fantasy,59501,"chronicles of narnia: prince caspian, the",2.5
Adventure|Children|Fantasy,200256,dumbo,2.5
Adventure|Children|Fantasy,82169,"chronicles of narnia: the voyage of the dawn treader, the",2.0
Adventure|Children|Fantasy,193954,the nutcracker and the four realms,1.5
Adventure|Children|Fantasy|Musical,919,"wizard of oz, the",4.15
Adventure|Children|Fantasy|Sci-Fi,215525,artemis fowl,2.0
Adventure|Children|Fantasy|Sci-Fi,184987,a wrinkle in time,1.0
Adventure|Children|Sci-Fi,51698,"last mimzy, the",4.5
Adventure|Comedy,51575,wild hogs,5.0
Adventure|Comedy,136598,vacation,5.0
Adventure|Comedy,7317,eurotrip,4.82
Adventure|Comedy,152970,hunt for the wilderpeople,4.71
Adventure|Comedy,2265,nothing but trouble,4.5
Adventure|Comedy,4734,jay and silent bob strike back,4.42
Adventure|Comedy,231,dumb & dumber,4.0
Adventure|Comedy,8807,harold and kumar go to white castle,4.0
Adventure|Comedy,2150,"gods must be crazy, the",4.0
Adventure|Comedy,3752,"me, myself & irene",3.79
Adventure|Comedy,69027,oss 117 - lost in rio,3.13
Adventure|Comedy,97665,asterix & obelix: god save britannia,3.0
Adventure|Comedy,50798,epic movie,1.75
Adventure|Comedy,3608,pee-wee's big adventure,0.5
Adventure|Comedy|Crime,43836,"pink panther, the",4.67
Adventure|Comedy|Crime,4027,"o brother, where art thou?",4.17
Adventure|Comedy|Crime,49422,"oss 117: cairo, nest of spies",4.0
Adventure|Comedy|Crime,32296,miss congeniality 2: armed and fabulous,3.41
Adventure|Comedy|Crime|Romance,101,bottle rocket,4.5
Adventure|Comedy|Crime|Romance,68848,"brothers bloom, the",3.5
Adventure|Comedy|Drama,87194,the way,5.0
Adventure|Comedy|Drama,106918,"secret life of walter mitty, the",4.59
Adventure|Comedy|Drama,127134,a walk in the woods,4.5
Adventure|Comedy|Drama,198143,then came you,4.5
Adventure|Comedy|Drama,114678,hector and the search for happiness,4.5
Adventure|Comedy|Drama,1884,fear and loathing in las vegas,4.17
Adventure|Comedy|Drama,55269,"darjeeling limited, the",4.1
Adventure|Comedy|Drama,46578,little miss sunshine,3.92
Adventure|Comedy|Drama,68659,fanboys,3.0
Adventure|Comedy|Drama|Fantasy|Mystery|Sci-Fi|Thriller,6902,interstate 60,5.0
Adventure|Comedy|Drama|Fantasy|Romance,45672,click,3.0
Adventure|Comedy|Drama|Romance,89554,zindagi na milegi dobara,5.0
Adventure|Comedy|Drama|War,53349,ten canoes,4.0
Adventure|Comedy|Fantasy,3052,dogma,4.34
Adventure|Comedy|Fantasy,1136,monty python and the holy grail,4.13
Adventure|Comedy|Fantasy,286355,beau is afraid,4.0
Adventure|Comedy|Fantasy,58972,nim's island,4.0
Adventure|Comedy|Fantasy,30810,"life aquatic with steve zissou, the",3.87
Adventure|Comedy|Fantasy,188833,the man who killed don quixote,3.59
Adventure|Comedy|Fantasy,3489,hook,3.58
Adventure|Comedy|Fantasy,4467,"adventures of baron munchausen, the",3.5
Adventure|Comedy|Fantasy,82854,gulliver's travels,3.0
Adventure|Comedy|Fantasy|Romance,54259,stardust,4.1
Adventure|Comedy|Musical,7075,"court jester, the",5.0
Adventure|Comedy|Musical,2863,"hard day's night, a",4.2
Adventure|Comedy|Musical,2088,popeye,3.5
Adventure|Comedy|Musical,49396,tenacious d in the pick of destiny,2.5
Adventure|Comedy|Musical|Romance,26479,"pirates of penzance, the",3.5
Adventure|Comedy|Romance,1894,six days seven nights,3.5
Adventure|Comedy|Romance,59116,virgin territory,3.5
Adventure|Comedy|Romance,88108,monte carlo,3.5
Adventure|Comedy|Sci-Fi,1270,back to the future,4.61
Adventure|Comedy|Sci-Fi,4571,bill & ted's excellent adventure,4.5
Adventure|Comedy|Sci-Fi,2011,back to the future part ii,4.36
Adventure|Comedy|Sci-Fi,222455,bill & ted face the music,4.0
Adventure|Comedy|Sci-Fi,113889,angry video game nerd: the movie,3.5
Adventure|Comedy|Sci-Fi,2450,howard the duck,3.5
Adventure|Comedy|Sci-Fi,282125,ant-man and the wasp: quantumania,3.5
Adventure|Comedy|Sci-Fi,84772,paul,3.38
Adventure|Comedy|Sci-Fi,280100,the guardians of the galaxy holiday special,3.36
Adventure|Comedy|Sci-Fi,3175,galaxy quest,3.25
Adventure|Comedy|Sci-Fi,270696,the adam project,3.21
Adventure|Comedy|Sci-Fi,3070,"adventures of buckaroo banzai across the 8th dimension, the",3.0
Adventure|Comedy|Sci-Fi,1376,star trek iv: the voyage home,3.0
Adventure|Comedy|Sci-Fi,33004,"hitchhiker's guide to the galaxy, the",2.58
Adventure|Comedy|Sci-Fi|Thriller,47997,idiocracy,4.02
Adventure|Comedy|Sci-Fi|Western,2012,back to the future part iii,3.15
Adventure|Comedy|Thriller,90522,johnny english reborn,5.0
Adventure|Comedy|Western,368,maverick,3.0
Adventure|Crime|Drama,3418,thelma & louise,3.8
Adventure|Crime|Drama|Thriller,116893,trash,4.0
Adventure|Crime|Mystery,279412,enola holmes 2,4.5
Adventure|Crime|Thriller,53466,nancy drew,3.5
Adventure|Documentary,7256,touching the void,4.83
Adventure|Documentary,118204,mcconkey,4.0
Adventure|Drama,7771,zorba the greek,5.0
Adventure|Drama,7063,aguirre: the wrath of god,4.88
Adventure|Drama,3285,"beach, the",4.67
Adventure|Drama,8852,lord jim,4.5
Adventure|Drama,6749,"prince and the pauper, the",4.5
Adventure|Drama,1259,stand by me,4.35
Adventure|Drama,187133,knights of the teutonic order,4.0
Adventure|Drama,3036,quest for fire,4.0
Adventure|Drama,8684,"man escaped, a",4.0
Adventure|Drama,111778,tracks,4.0
Adventure|Drama,7087,"passage to india, a",4.0
Adventure|Drama,1419,walkabout,4.0
Adventure|Drama,139385,the revenant,3.86
Adventure|Drama,193175,mowgli,3.75
Adventure|Drama,2966,"straight story, the",3.63
Adventure|Drama,6311,"other side of heaven, the",3.5
Adventure|Drama,3347,never cry wolf,3.5
Adventure|Drama,237199,tigers,3.5
Adventure|Drama,8873,"motorcycle diaries, the",3.39
Adventure|Drama,30954,"naked jungle, the",3.0
Adventure|Drama,235021,exterior/night,3.0
Adventure|Drama,62916,"wicked lady, the",2.0
Adventure|Drama|Fantasy,38320,valerie and her week of wonders,5.0
Adventure|Drama|Fantasy,59387,"fall, the",4.28
Adventure|Drama|Fantasy,65359,earthsea,4.0
Adventure|Drama|Fantasy,137857,the jungle book,4.0
Adventure|Drama|Fantasy,212281,mulan,3.0
Adventure|Drama|Fantasy,180031,the shape of water,2.83
Adventure|Drama|Fantasy|IMAX,54001,harry potter and the order of the phoenix,3.82
Adventure|Drama|Fantasy|Mystery|Sci-Fi,29,"city of lost children, the",4.0
Adventure|Drama|Fantasy|Romance,2297,what dreams may come,4.41
Adventure|Drama|Fantasy|Romance|IMAX,98203,"twilight saga: breaking dawn - part 2, the",5.0
Adventure|Drama|Horror|Mystery|Thriller,5433,silver bullet,4.0
Adventure|Drama|Horror|Thriller,40732,"descent, the",2.63
Adventure|Drama|IMAX,150,apollo 13,4.37
Adventure|Drama|IMAX,97938,life of pi,4.2
Adventure|Drama|Mystery,68222,"final inquiry, the",3.5
Adventure|Drama|Mystery|Sci-Fi|Thriller,204352,ad astra,3.24
Adventure|Drama|Mystery|Thriller,2183,"man who knew too much, the",3.44
Adventure|Drama|Romance,1216,"big blue, the",4.5
Adventure|Drama|Romance,42418,"new world, the",4.16
Adventure|Drama|Romance,247458,obsessed,4.0
Adventure|Drama|Romance,3259,far and away,3.63
Adventure|Drama|Romance,26085,mutiny on the bounty,2.5
Adventure|Drama|Romance|Sci-Fi,166635,passengers,3.78
Adventure|Drama|Romance|Thriller,49007,arabesque,4.0
Adventure|Drama|Romance|Thriller|War,7215,to have and have not,3.5
Adventure|Drama|Sci-Fi,329,star trek: generations,4.5
Adventure|Drama|Sci-Fi,134130,the martian,4.43
Adventure|Drama|Sci-Fi,924,2001: a space odyssey,4.29
Adventure|Drama|Sci-Fi,3471,close encounters of the third kind,3.47
Adventure|Drama|Sci-Fi,4370,a.i. artificial intelligence,3.33
Adventure|Drama|Sci-Fi,263481,finch,2.25
Adventure|Drama|Sci-Fi|Thriller,52328,sunshine,3.74
Adventure|Drama|Thriller,244178,the northman,3.72
Adventure|Drama|Thriller,63072,"road, the",3.72
Adventure|Drama|Thriller,48304,apocalypto,3.7
Adventure|Drama|Thriller,2871,deliverance,3.67
Adventure|Drama|Thriller,81562,127 hours,3.53
Adventure|Drama|Thriller,2734,"mosquito coast, the",3.0
Adventure|Drama|Thriller|IMAX,105504,captain phillips,4.67
Adventure|Drama|War,6947,master and commander: the far side of the world,5.0
Adventure|Drama|War,1250,"bridge on the river kwai, the",4.63
Adventure|Drama|War,1204,lawrence of arabia,4.29
Adventure|Drama|War,1619,seven years in tibet,4.0
Adventure|Drama|War,165579,utu,3.0
Adventure|Drama|War|Western,63853,australia,3.5
Adventure|Drama|Western,177497,hostiles,4.0
Adventure|Drama|Western,590,dances with wolves,3.63
Adventure|Drama|Western,7896,ride the high country,3.5
Adventure|Fantasy,2140,"dark crystal, the",4.87
Adventure|Fantasy,5952,"lord of the rings: the two towers, the",4.67
Adventure|Fantasy,4993,"lord of the rings: the fellowship of the ring, the",4.56
Adventure|Fantasy,2872,excalibur,4.25
Adventure|Fantasy,289695,between the shadows,4.0
Adventure|Fantasy,5816,harry potter and the chamber of secrets,3.76
Adventure|Fantasy,118696,the hobbit: the battle of the five armies,3.43
Adventure|Fantasy,271232,fantastic beasts: the secrets of dumbledore,3.03
Adventure|Fantasy,74530,percy jackson & the olympians: the lightning thief,3.0
Adventure|Fantasy,282939,a short story,2.0
Adventure|Fantasy|Film-Noir|Mystery|Sci-Fi,58898,"aerial, the",5.0
Adventure|Fantasy|IMAX,98809,"hobbit: an unexpected journey, the",4.5
Adventure|Fantasy|IMAX,8368,harry potter and the prisoner of azkaban,4.23
Adventure|Fantasy|IMAX,106489,"hobbit: the desolation of smaug, the",4.01
Adventure|Fantasy|IMAX,74789,alice in wonderland,3.77
Adventure|Fantasy|Musical,1967,labyrinth,4.67
Adventure|Fantasy|Musical|Romance,68835,were the world mine,3.64
Adventure|Fantasy|Mystery,54196,brand upon the brain!,3.5
Adventure|Fantasy|Mystery|Romance|IMAX,69844,harry potter and the half-blood prince,3.57
Adventure|Fantasy|Romance,3479,ladyhawke,3.5
Adventure|Fantasy|Romance,200540,aladdin,3.0
Adventure|Fantasy|Romance,2143,legend,2.5
Adventure|Fantasy|Thriller|IMAX,40815,harry potter and the goblet of fire,3.72
Adventure|Film-Noir|Sci-Fi|Thriller,1748,dark city,4.07
Adventure|Mystery|Sci-Fi|Thriller,182715,annihilation,3.74
Adventure|Romance,71976,"tiger of eschnapur, the",2.5
Adventure|Romance|Sci-Fi|IMAX,108190,divergent,2.61
Adventure|Romance|Thriller,58293,"10,000 bc",2.5
Adventure|Sci-Fi,1371,star trek: the motion picture,4.1
Adventure|Sci-Fi,135141,allegiant: part 1,3.5
Adventure|Sci-Fi,2021,dune,3.28
Adventure|Sci-Fi,135133,the hunger games: mockingjay - part 2,3.0
Adventure|Sci-Fi|Thriller,131050,stargate sg-1 children of the gods - final cut,4.5
Adventure|Sci-Fi|Thriller,3190,supernova,4.0
Adventure|Sci-Fi|Thriller,116823,the hunger games: mockingjay - part 1,3.11
Adventure|Sci-Fi|Thriller,148172,the 5th wave,2.0
Adventure|Western,4327,"magnificent seven, the",3.64
Animation,74791,"town called panic, a",5.0
Animation,126090,hedgehog in the fog,5.0
Animation,117545,asterix: the land of the gods,4.5
Animation,160718,piper,4.41
Animation,189873,bao,4.36
Animation,114078,seinto seiya: legend of sanctuary,4.0
Animation,165605,the head vanishes,4.0
Animation,173919,legend of the galactic heroes: golden wings,3.5
Animation,189483,cannon fodder,3.5
Animation,160848,the red turtle,3.0
Animation,151723,symphonie diagonale,2.5
Animation,226294,the birth of the robot,2.5
Animation,183495,golden time,2.0
Animation|Children,31687,pooh's heffalump movie,4.5
Animation|Children,95654,geri's game,3.75
Animation|Children,191687,teen titans go! to the movies,3.5
Animation|Children,6251,piglet's big movie,3.5
Animation|Children,194016,ralph breaks the internet,3.5
Animation|Children|Comedy,45517,cars,5.0
Animation|Children|Comedy,183833,early man,5.0
Animation|Children|Comedy,167792,"what's opera, doc?",5.0
Animation|Children|Comedy,3751,chicken run,4.2
Animation|Children|Comedy,197849,i love to singa,4.0
Animation|Children|Comedy,180987,ferdinand,4.0
Animation|Children|Comedy,167036,sing,4.0
Animation|Children|Comedy,745,wallace & gromit: a close shave,4.0
Animation|Children|Comedy,95858,for the birds,4.0
Animation|Children|Comedy,91823,kung fu panda holiday special,3.5
Animation|Children|Comedy,8372,garfield: the movie,3.5
Animation|Children|Comedy,97225,hotel transylvania,3.5
Animation|Children|Comedy,164200,storks,3.0
Animation|Children|Comedy,215683,the willoughbys,3.0
Animation|Children|Comedy,42734,hoodwinked!,2.5
Animation|Children|Comedy,76108,tom and jerry: the movie,2.5
Animation|Children|Comedy,86059,hop,0.5
Animation|Children|Comedy|Crime,1148,wallace & gromit: the wrong trousers,3.8
Animation|Children|Comedy|Crime,79091,despicable me,3.0
Animation|Children|Comedy|Fantasy|Musical|Romance|IMAX,81847,tangled,4.13
Animation|Children|Comedy|IMAX,103335,despicable me 2,3.5
Animation|Children|Comedy|Musical,73042,alvin and the chipmunks: the squeakquel,5.0
Animation|Children|Comedy|Musical,2078,"jungle book, the",4.9
Animation|Children|Comedy|Musical|Romance,2081,"little mermaid, the",3.63
Animation|Children|Comedy|Sci-Fi,253618,space jam: a new legacy,3.0
Animation|Children|Drama,164411,my life as a courgette,4.5
Animation|Children|Drama,50872,ratatouille,4.14
Animation|Children|Drama|Fantasy,280868,guillermo del toro's pinocchio,4.5
Animation|Children|Drama|Fantasy,5971,my neighbor totoro,4.03
Animation|Children|Drama|Fantasy,130034,stand by me doraemon,4.0
Animation|Children|Drama|Fantasy|Musical,594,snow white and the seven dwarfs,3.5
Animation|Children|Drama|Musical,1029,dumbo,2.5
Animation|Children|Drama|Musical|Romance,48,pocahontas,3.65
Animation|Children|Drama|Musical|Romance,783,"hunchback of notre dame, the",3.5
Animation|Children|Fantasy,193357,gnomes,4.0
Animation|Children|Fantasy|IMAX,71264,cloudy with a chance of meatballs,3.67
Animation|Children|Fantasy|Musical,2087,peter pan,4.5
Animation|Children|Fantasy|Musical,596,pinocchio,4.0
Animation|Children|Fantasy|Musical,551,"nightmare before christmas, the",3.66
Animation|Children|Fantasy|Musical,1025,"sword in the stone, the",3.58
Animation|Children|Fantasy|Musical,1282,fantasia,3.0
Animation|Children|Fantasy|Musical|Romance,1022,cinderella,3.5
Animation|Children|Fantasy|Musical|Romance,72737,"princess and the frog, the",3.5
Animation|Children|Fantasy|Musical|Romance|IMAX,595,beauty and the beast,4.19
Animation|Children|Fantasy|Mystery,46948,monster house,2.5
Animation|Children|Fantasy|War,1920,small soldiers,4.0
Animation|Children|Musical,31193,"many adventures of winnie the pooh, the",5.0
Animation|Children|Musical,2096,sleeping beauty,3.0
Animation|Comedy,183897,isle of dogs,4.03
Animation|Comedy,97913,wreck-it ralph,4.0
Animation|Comedy,54272,"simpsons movie, the",3.0
Animation|Comedy,55768,bee movie,2.67
Animation|Comedy,185039,roller coaster rabbit,2.5
Animation|Comedy,291483,sebastian star bear: first mission,2.5
Animation|Comedy,168534,dibu: la película,1.5
Animation|Comedy,158872,sausage party,1.0
Animation|Comedy,127390,family guy presents: blue harvest,1.0
Animation|Comedy|Drama,157373,it's such a beautiful day,5.0
Animation|Comedy|Drama|Fantasy,196175,welcome to marwen,4.0
Animation|Comedy|Drama|Romance|Sci-Fi,57504,"girl who leapt through time, the",4.17
Animation|Comedy|Fantasy|Musical,52435,how the grinch stole christmas!,4.5
Animation|Comedy|Fantasy|Musical|Romance,37729,corpse bride,2.0
Animation|Comedy|Horror|IMAX,97172,frankenweenie,2.5
Animation|Comedy|Musical,2700,"south park: bigger, longer and uncut",3.0
Animation|Comedy|Musical,104685,"suicide shop, the ",3.0
Animation|Comedy|Musical,4624,meet the feebles,0.5
Animation|Comedy|Musical|Romance,71707,love hina spring special,3.5
Animation|Comedy|Romance,70535,love hina christmas special: silent eve,3.5
Animation|Comedy|Sci-Fi,136485,robot chicken: star wars,4.5
Animation|Crime|Drama,179133,loving vincent,4.21
Animation|Crime|Drama|Fantasy|Mystery|Sci-Fi,214240,altered carbon: resleeved,4.0
Animation|Documentary|Drama|War,61236,waltz with bashir,4.0
Animation|Drama,32657,"man who planted trees, the",5.0
Animation|Drama,109185,night on the galactic railroad,5.0
Animation|Drama,126046,franz kafka's a country doctor,5.0
Animation|Drama,55442,persepolis,4.68
Animation|Drama,190339,white fang,4.5
Animation|Drama,117438,when marnie was there,4.0
Animation|Drama,140397,animal farm,3.5
Animation|Drama,208773,i lost my body,3.0
Animation|Drama|Fantasy,4873,waking life,4.08
Animation|Drama|Fantasy|Romance,163134,your name.,4.73
Animation|Drama|Fantasy|Romance,204158,weathering with you,4.0
Animation|Drama|Horror,140795,midori,4.5
Animation|Drama|Horror,207678,the wolf house,3.0
Animation|Drama|Mystery|Sci-Fi|Thriller,27904,"scanner darkly, a",3.95
Animation|Drama|Romance,6713,millennium actress,4.5
Animation|Drama|Romance,104283,"wind rises, the",4.5
Animation|Drama|Romance|Sci-Fi,189449,macross frontier: the false songstress,4.5
Animation|Drama|Sci-Fi|IMAX,4454,more,4.5
Animation|Drama|War,181671,the breadwinner,5.0
Animation|Drama|War,5690,grave of the fireflies,4.92
Animation|Fantasy,114461,"snails, the",4.5
Animation|Fantasy,169520,saint seiya heaven chapter: overture,4.0
Animation|Fantasy|Horror|Sci-Fi,74095,wicked city,2.5
Animation|Fantasy|Mystery|Thriller,142450,puella magi madoka magica the movie part iii: rebellion,3.0
Animation|Fantasy|Thriller,66097,coraline,4.21
Animation|Horror,251384,opal,3.5
Animation|Horror|Mystery|Thriller,2810,perfect blue,4.0
Animation|Musical,2394,"prince of egypt, the",4.5
Animation|Mystery|Sci-Fi,52885,paprika,3.93
Animation|Sci-Fi,118244,wanderers,5.0
Animation|Sci-Fi,741,ghost in the shell,4.55
Animation|Sci-Fi,2495,"fantastic planet, the",4.08
Animation|Sci-Fi,149412,legend of the galactic heroes: my conquest is the sea of stars,4.0
Animation|Sci-Fi,192953,ghost in the shell: stand alone complex - individual eleven,4.0
Animation|Sci-Fi,158092,magnetic rose,4.0
Animation|Sci-Fi,189451,macross: flash back 2012,3.5
Animation|Sci-Fi,195115,uncanny valley,3.5
Animation|Sci-Fi,105769,"congress, the",2.5
